[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 52.900001525878906, 18.30000114440918, 52.10000228881836];05.04.2022 -- 18:16:23
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 52.900001525878906, 18.30000114440918, 52.10000228881836];05.04.2022 -- 18:16:27
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.0, 18.30000114440918, 52.10000228881836];05.04.2022 -- 18:16:30
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.0, 18.30000114440918, 52.20000076293945];05.04.2022 -- 18:16:33
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.0, 18.30000114440918, 52.10000228881836];05.04.2022 -- 18:16:36
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.0, 18.30000114440918, 52.20000076293945];05.04.2022 -- 18:16:40
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 52.900001525878906, 18.200000762939453, 52.10000228881836];05.04.2022 -- 18:16:43
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 52.900001525878906, 18.200000762939453, 52.20000076293945];05.04.2022 -- 18:16:46
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.0, 18.200000762939453, 52.20000076293945];05.04.2022 -- 18:16:49
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.0, 18.200000762939453, 52.20000076293945];05.04.2022 -- 18:16:53
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.20000076293945];05.04.2022 -- 18:16:56
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:16:59
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:17:02
[18.600000381469727, 60.400001525878906, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.10000228881836, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:17:06
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.29999923706055];05.04.2022 -- 18:17:09
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:17:12
[18.600000381469727, 60.5, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:17:15
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:17:19
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:17:22
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:17:25
[18.600000381469727, 60.5, 18.200000762939453, 59.70000076293945, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.5];05.04.2022 -- 18:17:28
[18.600000381469727, 60.60000228881836, 18.200000762939453, 59.60000228881836, 18.399999618530273, 53.20000076293945, 18.200000762939453, 52.400001525878906];05.04.2022 -- 18:17:32
